Date,Region,Person,Product,Category,Quantity,UnitPrice,TotalSales,DayOfWeek,Month,Quarter
2025-01-05,中部,渡辺さくら,製品A,サブスク,4,32315,129260,Sunday,1,1
2025-01-05,中部,伊藤健太,製品D,単発,3,48125,144375,Sunday,1,1
2025-01-05,関東,渡辺さくら,製品A,サブスク,5,43999,219995,Sunday,1,1
2025-01-05,中国,鈴木一郎,サービスX,保守,1,168353,168353,Sunday,1,1
2025-01-05,東北,鈴木一郎,製品A,サブスク,5,32591,162955,Sunday,1,1
2025-01-05,中部,佐藤花子,製品C,サブスク,3,31471,94413,Sunday,1,1
2025-01-05,関東,山本大輔,サービスX,保守,3,86481,259443,Sunday,1,1
2025-01-05,近畿,伊藤健太,製品C,サブスク,5,17258,86290,Sunday,1,1
2025-01-05,近畿,渡辺さくら,製品B,単発,5,73460,367300,Sunday,1,1
2025-01-05,中部,渡辺さくら,製品C,サブスク,5,36734,183670,Sunday,1,1
2025-01-05,近畿,佐藤花子,製品B,単発,2,69963,139926,Sunday,1,1
2025-01-05,関東,鈴木一郎,サービスX,保守,2,103904,207808,Sunday,1,1
2025-01-05,関東,田中太郎,製品A,サブスク,1,42064,42064,Sunday,1,1
2025-01-05,関東,佐藤花子,製品C,サブスク,3,36705,110115,Sunday,1,1
2025-01-05,中国,渡辺さくら,製品E,追加オプション,2,24333,48666,Sunday,1,1
2025-01-05,中部,伊藤健太,製品B,単発,3,52221,156663,Sunday,1,1
2025-01-05,中国,高橋美咲,製品C,サブスク,3,28551,85653,Sunday,1,1
2025-01-05,中部,山本大輔,製品B,単発,3,48561,145683,Sunday,1,1
2025-01-05,北海道,佐藤花子,製品A,サブスク,2,39416,78832,Sunday,1,1
2025-01-05,関東,渡辺さくら,製品D,単発,3,92634,277902,Sunday,1,1
2025-01-05,関東,鈴木一郎,製品B,単発,4,44880,179520,Sunday,1,1
2025-01-05,東北,高橋美咲,サービスY,保守,3,93619,280857,Sunday,1,1
2025-01-05,近畿,伊藤健太,製品C,サブスク,3,30115,90345,Sunday,1,1
2025-01-05,中部,高橋美咲,サービスX,保守,1,137542,137542,Sunday,1,1
2025-01-05,関東,渡辺さくら,サービスY,保守,1,98780,98780,Sunday,1,1
2025-01-05,東北,田中太郎,製品B,単発,2,56903,113806,Sunday,1,1
2025-01-05,中部,山本大輔,サービスX,保守,5,76011,380055,Sunday,1,1
2025-01-05,近畿,中村愛,製品B,単発,1,59535,59535,Sunday,1,1
2025-01-05,近畿,田中太郎,製品B,単発,1,73751,73751,Sunday,1,1
2025-01-05,関東,佐藤花子,サービスY,保守,2,114135,228270,Sunday,1,1
2025-01-05,四国,中村愛,サービスY,保守,5,73975,369875,Sunday,1,1
2025-01-05,近畿,渡辺さくら,サービスX,保守,2,188776,377552,Sunday,1,1
2025-01-05,中部,佐藤花子,製品D,単発,2,66890,133780,Sunday,1,1
2025-01-05,関東,田中太郎,サービスX,保守,2,121266,242532,Sunday,1,1
2025-01-06,関東,田中太郎,製品A,サブスク,1,97026,97026,Monday,1,1
2025-01-06,中部,山本大輔,製品C,サブスク,2,28644,57288,Monday,1,1
2025-01-06,中部,山本大輔,製品A,サブスク,5,59065,295325,Monday,1,1
2025-01-06,北海道,山本大輔,製品A,サブスク,4,39946,159784,Monday,1,1
2025-01-06,近畿,高橋美咲,サービスX,保守,2,321575,643150,Monday,1,1
2025-01-06,関東,鈴木一郎,製品C,サブスク,1,53906,53906,Monday,1,1
2025-01-06,東北,鈴木一郎,製品E,追加オプション,1,34022,34022,Monday,1,1
2025-01-06,北海道,中村愛,製品E,追加オプション,1,25411,25411,Monday,1,1
2025-01-06,中部,山本大輔,製品C,サブスク,2,40884,81768,Monday,1,1
2025-01-06,関東,鈴木一郎,製品D,単発,1,92656,92656,Monday,1,1
2025-01-06,中部,伊藤健太,サービスY,保守,4,120993,483972,Monday,1,1
2025-01-06,中部,伊藤健太,サービスY,保守,3,144697,434091,Monday,1,1
2025-01-06,関東,田中太郎,製品C,サブスク,1,45588,45588,Monday,1,1
2025-01-06,近畿,山本大輔,製品E,追加オプション,1,32587,32587,Monday,1,1
2025-01-06,北海道,渡辺さくら,製品E,追加オプション,1,47554,47554,Monday,1,1
2025-01-06,中部,田中太郎,製品B,単発,2,115346,230692,Monday,1,1
2025-01-06,中部,田中太郎,製品A,サブスク,3,96082,288246,Monday,1,1
2025-01-06,関東,伊藤健太,製品A,サブスク,5,64281,321405,Monday,1,1
2025-01-06,近畿,田中太郎,製品A,サブスク,1,61728,61728,Monday,1,1
2025-01-06,九州,山本大輔,製品C,サブスク,5,34257,171285,Monday,1,1
2025-01-06,近畿,伊藤健太,サービスY,保守,2,137200,274400,Monday,1,1
2025-01-06,関東,伊藤健太,サービスX,保守,4,157014,628056,Monday,1,1
2025-01-06,関東,山本大輔,製品D,単発,2,108958,217916,Monday,1,1
2025-01-06,中部,田中太郎,製品E,追加オプション,1,56394,56394,Monday,1,1
2025-01-06,近畿,中村愛,製品D,単発,4,141461,565844,Monday,1,1
2025-01-06,近畿,伊藤健太,サービスX,保守,5,175675,878375,Monday,1,1
2025-01-06,近畿,中村愛,製品C,サブスク,1,40226,40226,Monday,1,1
2025-01-06,関東,渡辺さくら,製品A,サブスク,4,54620,218480,Monday,1,1
2025-01-06,関東,田中太郎,サービスX,保守,5,361645,1808225,Monday,1,1
2025-01-06,関東,鈴木一郎,製品C,サブスク,1,60791,60791,Monday,1,1
2025-01-06,近畿,田中太郎,サービスY,保守,5,293470,1467350,Monday,1,1
2025-01-06,北海道,高橋美咲,サービスY,保守,4,152391,609564,Monday,1,1
2025-01-06,中部,山本大輔,製品E,追加オプション,4,20542,82168,Monday,1,1
2025-01-06,関東,渡辺さくら,製品C,サブスク,4,59056,236224,Monday,1,1
2025-01-06,北海道,鈴木一郎,製品A,サブスク,4,72733,290932,Monday,1,1
2025-01-06,中部,佐藤花子,製品D,単発,4,116041,464164,Monday,1,1
2025-01-06,東北,山本大輔,製品D,単発,2,120340,240680,Monday,1,1
2025-01-06,関東,伊藤健太,製品B,単発,4,74468,297872,Monday,1,1
2025-01-06,東北,高橋美咲,製品C,サブスク,1,60234,60234,Monday,1,1
2025-01-06,近畿,鈴木一郎,製品D,単発,4,109629,438516,Monday,1,1
2025-01-07,中部,伊藤健太,製品E,追加オプション,3,36406,109218,Tuesday,1,1
2025-01-07,近畿,渡辺さくら,製品E,追加オプション,1,43755,43755,Tuesday,1,1
2025-01-07,中国,渡辺さくら,製品B,単発,4,123096,492384,Tuesday,1,1
2025-01-07,関東,高橋美咲,製品E,追加オプション,2,24557,49114,Tuesday,1,1
2025-01-07,中部,鈴木一郎,製品D,単発,3,131366,394098,Tuesday,1,1
2025-01-07,関東,高橋美咲,製品E,追加オプション,3,24894,74682,Tuesday,1,1
2025-01-07,近畿,伊藤健太,サービスX,保守,4,170396,681584,Tuesday,1,1
2025-01-07,東北,伊藤健太,サービスX,保守,4,173575,694300,Tuesday,1,1
2025-01-07,中部,渡辺さくら,製品C,サブスク,2,36302,72604,Tuesday,1,1
2025-01-07,近畿,渡辺さくら,製品B,単発,1,95871,95871,Tuesday,1,1
2025-01-07,関東,高橋美咲,サービスY,保守,5,175757,878785,Tuesday,1,1
2025-01-07,中部,鈴木一郎,製品A,サブスク,4,42864,171456,Tuesday,1,1
2025-01-07,関東,山本大輔,サービスY,保守,3,159138,477414,Tuesday,1,1
2025-01-07,近畿,山本大輔,製品D,単発,5,103686,518430,Tuesday,1,1
2025-01-07,関東,高橋美咲,製品B,単発,5,86476,432380,Tuesday,1,1
2025-01-07,関東,田中太郎,製品E,追加オプション,1,41846,41846,Tuesday,1,1
2025-01-07,関東,山本大輔,製品A,サブスク,2,47587,95174,Tuesday,1,1
2025-01-07,東北,山本大輔,製品D,単発,1,82898,82898,Tuesday,1,1
2025-01-07,関東,伊藤健太,製品D,単発,3,125634,376902,Tuesday,1,1
2025-01-07,近畿,伊藤健太,サービスY,保守,5,166477,832385,Tuesday,1,1
2025-01-07,関東,中村愛,サービスX,保守,5,210805,1054025,Tuesday,1,1
2025-01-07,東北,山本大輔,製品E,追加オプション,3,24673,74019,Tuesday,1,1
2025-01-07,中部,山本大輔,サービスY,保守,1,121506,121506,Tuesday,1,1
2025-01-07,中部,中村愛,製品C,サブスク,3,46557,139671,Tuesday,1,1
2025-01-07,関東,鈴木一郎,製品D,単発,3,106329,318987,Tuesday,1,1
2025-01-07,東北,高橋美咲,製品A,サブスク,2,46485,92970,Tuesday,1,1
2025-01-07,関東,中村愛,製品C,サブスク,5,43310,216550,Tuesday,1,1
2025-01-07,中国,伊藤健太,サービスX,保守,4,241395,965580,Tuesday,1,1
2025-01-07,東北,鈴木一郎,製品C,サブスク,3,31631,94893,Tuesday,1,1
2025-01-08,北海道,山本大輔,サービスX,保守,1,216876,216876,Wednesday,1,1
2025-01-08,東北,山本大輔,製品B,単発,1,79018,79018,Wednesday,1,1
2025-01-08,中国,伊藤健太,製品B,単発,1,88864,88864,Wednesday,1,1
2025-01-08,近畿,鈴木一郎,製品B,単発,4,93022,372088,Wednesday,1,1
2025-01-08,近畿,佐藤花子,製品E,追加オプション,4,40630,162520,Wednesday,1,1
2025-01-08,関東,伊藤健太,サービスX,保守,2,166625,333250,Wednesday,1,1
2025-01-08,四国,中村愛,サービスX,保守,1,171267,171267,Wednesday,1,1
2025-01-08,関東,山本大輔,製品D,単発,2,109836,219672,Wednesday,1,1
2025-01-08,近畿,佐藤花子,製品E,追加オプション,1,26899,26899,Wednesday,1,1
2025-01-08,関東,渡辺さくら,製品C,サブスク,2,58575,117150,Wednesday,1,1
2025-01-08,近畿,渡辺さくら,製品B,単発,2,84711,169422,Wednesday,1,1
2025-01-08,中部,中村愛,サービスX,保守,1,217343,217343,Wednesday,1,1
2025-01-08,近畿,中村愛,製品E,追加オプション,3,37567,112701,Wednesday,1,1
2025-01-08,中国,田中太郎,製品B,単発,2,141892,283784,Wednesday,1,1
2025-01-08,中部,佐藤花子,製品A,サブスク,5,76113,380565,Wednesday,1,1
2025-01-08,四国,中村愛,サービスY,保守,2,150491,300982,Wednesday,1,1
2025-01-08,近畿,中村愛,製品E,追加オプション,1,28173,28173,Wednesday,1,1
2025-01-08,中部,中村愛,製品A,サブスク,4,57801,231204,Wednesday,1,1
2025-01-08,近畿,中村愛,製品A,サブスク,2,45906,91812,Wednesday,1,1
2025-01-08,関東,高橋美咲,製品D,単発,1,126569,126569,Wednesday,1,1
2025-01-08,東北,高橋美咲,サービスY,保守,4,149772,599088,Wednesday,1,1
2025-01-08,東北,伊藤健太,製品E,追加オプション,2,32810,65620,Wednesday,1,1
2025-01-08,中国,渡辺さくら,サービスY,保守,4,199889,799556,Wednesday,1,1
2025-01-08,関東,中村愛,製品A,サブスク,3,65942,197826,Wednesday,1,1
2025-01-08,中部,鈴木一郎,製品C,サブスク,2,31937,63874,Wednesday,1,1
2025-01-08,北海道,鈴木一郎,製品A,サブスク,2,46408,92816,Wednesday,1,1
2025-01-08,中部,渡辺さくら,製品D,単発,3,131769,395307,Wednesday,1,1
2025-01-08,関東,渡辺さくら,製品E,追加オプション,2,28225,56450,Wednesday,1,1
2025-01-08,関東,中村愛,製品E,追加オプション,1,23699,23699,Wednesday,1,1
2025-01-08,関東,田中太郎,製品A,サブスク,3,89181,267543,Wednesday,1,1
2025-01-08,北海道,高橋美咲,製品B,単発,5,103964,519820,Wednesday,1,1
2025-01-08,東北,山本大輔,サービスX,保守,3,188946,566838,Wednesday,1,1
2025-01-08,関東,佐藤花子,サービスX,保守,5,311013,1555065,Wednesday,1,1
2025-01-08,中部,田中太郎,製品D,単発,1,180421,180421,Wednesday,1,1
2025-01-08,近畿,中村愛,製品A,サブスク,4,64790,259160,Wednesday,1,1
2025-01-09,関東,伊藤健太,製品B,単発,1,94652,94652,Thursday,1,1
2025-01-09,関東,田中太郎,製品B,単発,2,124378,248756,Thursday,1,1
2025-01-09,近畿,中村愛,製品B,単発,1,100152,100152,Thursday,1,1
2025-01-09,関東,鈴木一郎,サービスY,保守,1,198974,198974,Thursday,1,1
2025-01-09,東北,伊藤健太,製品C,サブスク,1,29988,29988,Thursday,1,1
2025-01-09,四国,中村愛,製品C,サブスク,2,45182,90364,Thursday,1,1
2025-01-09,近畿,佐藤花子,サービスY,保守,2,151483,302966,Thursday,1,1
2025-01-09,関東,伊藤健太,製品A,サブスク,1,45350,45350,Thursday,1,1
2025-01-09,近畿,伊藤健太,製品B,単発,4,96735,386940,Thursday,1,1
2025-01-09,北海道,山本大輔,製品A,サブスク,2,44111,88222,Thursday,1,1
2025-01-09,北海道,鈴木一郎,製品C,サブスク,5,35336,176680,Thursday,1,1
2025-01-09,中部,鈴木一郎,製品C,サブスク,1,36305,36305,Thursday,1,1
2025-01-09,関東,伊藤健太,サービスY,保守,4,122173,488692,Thursday,1,1
2025-01-09,関東,渡辺さくら,製品A,サブスク,1,56405,56405,Thursday,1,1
2025-01-09,関東,中村愛,製品C,サブスク,1,57655,57655,Thursday,1,1
2025-01-09,関東,田中太郎,製品A,サブスク,2,75960,151920,Thursday,1,1
2025-01-09,関東,渡辺さくら,サービスX,保守,1,214518,214518,Thursday,1,1
2025-01-09,東北,渡辺さくら,製品C,サブスク,5,63072,315360,Thursday,1,1
2025-01-09,近畿,渡辺さくら,製品D,単発,5,112102,560510,Thursday,1,1
2025-01-09,北海道,伊藤健太,製品C,サブスク,5,40654,203270,Thursday,1,1
2025-01-09,関東,佐藤花子,製品C,サブスク,1,53552,53552,Thursday,1,1
2025-01-09,東北,佐藤花子,製品E,追加オプション,5,47611,238055,Thursday,1,1
2025-01-09,近畿,伊藤健太,製品C,サブスク,2,34831,69662,Thursday,1,1
2025-01-09,関東,伊藤健太,サービスX,保守,1,197807,197807,Thursday,1,1
2025-01-09,関東,中村愛,製品B,単発,5,111973,559865,Thursday,1,1
2025-01-09,中部,田中太郎,製品D,単発,2,141476,282952,Thursday,1,1
2025-01-09,中国,伊藤健太,製品E,追加オプション,2,25976,51952,Thursday,1,1
2025-01-09,関東,高橋美咲,製品E,追加オプション,2,37597,75194,Thursday,1,1
2025-01-09,中部,高橋美咲,製品A,サブスク,3,73968,221904,Thursday,1,1
2025-01-09,北海道,高橋美咲,製品C,サブスク,4,47818,191272,Thursday,1,1
2025-01-09,北海道,田中太郎,サービスY,保守,1,260713,260713,Thursday,1,1
2025-01-09,東北,鈴木一郎,製品C,サブスク,3,55644,166932,Thursday,1,1
2025-01-10,関東,高橋美咲,製品E,追加オプション,5,37193,185965,Friday,1,1
2025-01-10,東北,中村愛,サービスX,保守,4,242812,971248,Friday,1,1
2025-01-10,関東,高橋美咲,サービスX,保守,3,264283,792849,Friday,1,1
2025-01-10,関東,中村愛,サービスX,保守,2,233943,467886,Friday,1,1
2025-01-10,関東,田中太郎,製品C,サブスク,3,60134,180402,Friday,1,1
2025-01-10,東北,鈴木一郎,製品E,追加オプション,4,24492,97968,Friday,1,1
2025-01-10,関東,高橋美咲,製品C,サブスク,3,37535,112605,Friday,1,1
2025-01-10,東北,佐藤花子,製品C,サブスク,5,66513,332565,Friday,1,1
2025-01-10,関東,伊藤健太,製品E,追加オプション,2,33070,66140,Friday,1,1
2025-01-10,関東,山本大輔,サービスY,保守,4,122174,488696,Friday,1,1
2025-01-10,四国,高橋美咲,製品B,単発,3,98198,294594,Friday,1,1
2025-01-10,中国,高橋美咲,製品C,サブスク,1,42669,42669,Friday,1,1
2025-01-10,関東,佐藤花子,製品A,サブスク,5,78023,390115,Friday,1,1
2025-01-10,関東,山本大輔,製品B,単発,5,88000,440000,Friday,1,1
2025-01-10,関東,山本大輔,製品A,サブスク,2,62155,124310,Friday,1,1
2025-01-10,関東,中村愛,製品E,追加オプション,4,48176,192704,Friday,1,1
2025-01-10,関東,中村愛,製品A,サブスク,2,62157,124314,Friday,1,1
2025-01-10,近畿,佐藤花子,製品C,サブスク,4,75145,300580,Friday,1,1
2025-01-10,関東,高橋美咲,製品C,サブスク,3,58986,176958,Friday,1,1
2025-01-10,北海道,山本大輔,製品A,サブスク,2,68319,136638,Friday,1,1
2025-01-10,関東,伊藤健太,サービスY,保守,2,128462,256924,Friday,1,1
2025-01-10,関東,伊藤健太,製品A,サブスク,1,61233,61233,Friday,1,1
2025-01-10,関東,鈴木一郎,製品B,単発,4,94165,376660,Friday,1,1
2025-01-10,近畿,鈴木一郎,製品B,単発,2,85056,170112,Friday,1,1
2025-01-10,関東,渡辺さくら,製品A,サブスク,2,59928,119856,Friday,1,1
2025-01-10,関東,鈴木一郎,製品D,単発,1,106518,106518,Friday,1,1
2025-01-11,近畿,中村愛,サービスY,保守,1,102117,102117,Saturday,1,1
2025-01-11,東北,山本大輔,製品A,サブスク,2,33510,67020,Saturday,1,1
2025-01-11,関東,伊藤健太,製品B,単発,4,58561,234244,Saturday,1,1
2025-01-11,東北,鈴木一郎,製品E,追加オプション,2,12784,25568,Saturday,1,1
2025-01-11,近畿,伊藤健太,製品A,サブスク,2,37926,75852,Saturday,1,1
2025-01-11,近畿,高橋美咲,製品E,追加オプション,1,19859,19859,Saturday,1,1
2025-01-11,近畿,山本大輔,サービスX,保守,1,104495,104495,Saturday,1,1
2025-01-11,中部,伊藤健太,製品D,単発,2,51349,102698,Saturday,1,1
2025-01-11,関東,高橋美咲,製品C,サブスク,2,31360,62720,Saturday,1,1
2025-01-11,近畿,中村愛,製品C,サブスク,4,25401,101604,Saturday,1,1
2025-01-11,関東,中村愛,製品B,単発,3,61143,183429,Saturday,1,1
2025-01-11,関東,田中太郎,製品A,サブスク,3,52747,158241,Saturday,1,1
2025-01-11,関東,佐藤花子,製品E,追加オプション,3,19954,59862,Saturday,1,1
2025-01-11,中国,田中太郎,製品E,追加オプション,4,27463,109852,Saturday,1,1
2025-01-11,関東,伊藤健太,製品A,サブスク,1,34714,34714,Saturday,1,1
2025-01-11,近畿,渡辺さくら,製品D,単発,2,78973,157946,Saturday,1,1
2025-01-11,四国,山本大輔,製品C,サブスク,3,23011,69033,Saturday,1,1
2025-01-11,北海道,山本大輔,製品B,単発,3,36985,110955,Saturday,1,1
2025-01-11,中部,高橋美咲,製品C,サブスク,5,25851,129255,Saturday,1,1
2025-01-11,近畿,山本大輔,製品C,サブスク,4,15337,61348,Saturday,1,1
2025-01-11,近畿,鈴木一郎,製品E,追加オプション,5,14534,72670,Saturday,1,1
2025-01-11,関東,佐藤花子,製品A,サブスク,3,42799,128397,Saturday,1,1
2025-01-11,関東,田中太郎,サービスX,保守,4,162662,650648,Saturday,1,1
2025-01-11,中国,佐藤花子,製品E,追加オプション,4,19810,79240,Saturday,1,1
2025-01-11,北海道,山本大輔,製品B,単発,1,53501,53501,Saturday,1,1
2025-01-11,東北,中村愛,サービスX,保守,3,173068,519204,Saturday,1,1
2025-01-12,関東,渡辺さくら,製品D,単発,3,64789,194367,Sunday,1,1
